Symbol,Country,Company
JWL.NS,India,Jupiter Wagons Limited
NFL.NS,India,National Fertilizers Limited
HEG.NS,India,HEG Limited
RAJRILTD.NS,India,Raj Rayon Industries Limited
CHENNPETRO.NS,India,Chennai Petroleum Corporation Limited
WSTCSTPAPR.NS,India,West Coast Paper Mills Limited
LUXIND.NS,India,Lux Industries Limited
HIKAL.NS,India,Hikal Limited
MIDHANI.NS,India,Mishra Dhatu Nigam Limited
HLEGLAS.NS,India,HLE Glascoat Limited
SHAREINDIA.NS,India,Share India Securities Limited
NOCIL.NS,India,NOCIL Limited
NAZARA.NS,India,Nazara Technologies Limited
BANARISUG.NS,India,Bannari Amman Sugars Limited
ANANDRATHI.NS,India,Anand Rathi Wealth Limited
PRUDENT.NS,India,Prudent Corporate Advisory Services Limited
GRAVITA.NS,India,Gravita India Limited
GREENPANEL.NS,India,Greenpanel Industries Limited
VESUVIUS.NS,India,Vesuvius India Limited
DCBBANK.NS,India,DCB Bank Limited
ROSSARI.NS,India,Rossari Biotech Limited
RESPONIND.NS,India,Responsive Industries Limited
TINPLATE.NS,India,The Tinplate Company of India Limited
KIRLOSBROS.NS,India,Kirloskar Brothers Limited
RAILTEL.NS,India,Railtel Corporation Of India Limited
AMIORG.NS,India,Ami Organics Limited
ISGEC.NS,India,Isgec Heavy Engineering Limited
NEOGEN.NS,India,Neogen Chemicals Limited
MARKSANS.NS,India,Marksans Pharma Limited
NAVA.NS,India,NAVA LIMITED
NEWGEN.NS,India,Newgen Software Technologies Limited
BECTORFOOD.NS,India,Mrs. Bectors Food Specialities Limited
TWL.NS,India,Titagarh Wagons Limited
AARTIDRUGS.NS,India,Aarti Drugs Limited
UJJIVAN.NS,India,Ujjivan Financial Services Limited
GATEWAY.NS,India,Gateway Distriparks Limited
SULA.NS,India,Sula Vineyards Limited
DAAWAT.NS,India,LT Foods Limited
SOUTHBANK.NS,India,The South Indian Bank Limited
GET&D.NS,India,GE T&D India Limited
HARSHA.NS,India,Harsha Engineers International Limited
PGEL.NS,India,PG Electroplast Limited
RSYSTEMS.NS,India,R Systems International Limited
INDOCO.NS,India,Indoco Remedies Limited
MOLDTKPAC.NS,India,Mold-Tek Packaging Limited
IFBIND.NS,India,IFB Industries Limited
SBCL.NS,India,Shivalik Bimetal Controls Limited
BCG.NS,India,Brightcom Group Limited
GREAVESCOT.NS,India,Greaves Cotton Limited
MOIL.NS,India,MOIL Limited
TATASTLLP.NS,India,Tata Steel Long Products Limited
TARSONS.NS,India,Tarsons Products Limited
SHANTIGEAR.NS,India,Shanthi Gears Limited
CHOICEIN.NS,India,Choice International Limited
TIIL.NS,India,Technocraft Industries (India) Limited
DHANUKA.NS,India,Dhanuka Agritech Limited
JCHAC.NS,India,Johnson Controls - Hitachi Air Conditioning India Limited
DODLA.NS,India,Dodla Dairy Limited
DALMIASUG.NS,India,Dalmia Bharat Sugar and Industries Limited
VOLTAMP.NS,India,Voltamp Transformers Limited
ASTEC.NS,India,Astec LifeSciences Limited
SUDARSCHEM.NS,India,Sudarshan Chemical Industries Limited
KSCL.NS,India,Kaveri Seed Company Limited
SUNFLAG.NS,India,Sunflag Iron And Steel Company Limited
IBREALEST.NS,India,Indiabulls Real Estate Limited
THOMASCOOK.NS,India,Thomas Cook  (India)  Limited
HBLPOWER.NS,India,HBL Power Systems Limited
INOXWIND.NS,India,Inox Wind Limited
NILKAMAL.NS,India,Nilkamal Limited
ZENTEC.NS,India,Zen Technologies Limited
TCNSBRANDS.NS,India,TCNS Clothing Co. Limited
ADVENZYMES.NS,India,Advanced Enzyme Technologies Limited
STAR.NS,India,Strides Pharma Science Limited
FCL.NS,India,Fineotex Chemical Limited
KKCL.NS,India,Kewal Kiran Clothing Limited
HINDWAREAP.NS,India,Hindware Home Innovation Limited
MAHLOG.NS,India,Mahindra Logistics Limited
EMIL.NS,India,Electronics Mart India Limited
JTEKTINDIA.NS,India,Jtekt India Limited
MANINFRA.NS,India,Man Infraconstruction Limited
ITDC.NS,India,India Tourism Development Corporation Limited
APCOTEXIND.NS,India,Apcotex Industries Limited
PRICOLLTD.NS,India,Pricol Limited
PTC.NS,India,PTC India Limited
AARTIPHARM.NS,India,Aarti Pharmalabs Limited
MBAPL.NS,India,Madhya Bharat Agro Products Limited
SAGCEM.NS,India,Sagar Cements Limited
TDPOWERSYS.NS,India,TD Power Systems Limited
JAICORPLTD.NS,India,Jai Corp Limited
DBL.NS,India,Dilip Buildcon Limited
BARBEQUE.NS,India,Barbeque Nation Hospitality Limited
UNIPARTS.NS,India,Uniparts India Limited
UFLEX.NS,India,UFLEX Limited
WONDERLA.NS,India,Wonderla Holidays Limited
PSPPROJECT.NS,India,PSP Projects Limited
KIRLOSIND.NS,India,Kirloskar Industries Limited
IPL.NS,India,India Pesticides Limited
DISHTV.NS,India,Dish TV India Limited
TATAMETALI.NS,India,Tata Metaliks Limited
PAISALO.NS,India,Paisalo Digital Limited
PFOCUS.NS,India,Prime Focus Limited
HEMIPROP.NS,India,Hemisphere Properties India Limited
LGBBROSLTD.NS,India,LG Balakrishnan & Bros Limited
MAITHANALL.NS,India,Maithan Alloys Limited
SSWL.NS,India,Steel Strips Wheels Limited
NEULANDLAB.NS,India,Neuland Laboratories Limited
HATHWAY.NS,India,Hathway Cable & Datacom Limited
THYROCARE.NS,India,Thyrocare Technologies Limited
ORIENTCEM.NS,India,Orient Cement Limited
DREAMFOLKS.NS,India,Dreamfolks Services Limited
ETHOSLTD.NS,India,Ethos Limited
GLOBUSSPR.NS,India,Globus Spirits Limited
GANESHHOUC.NS,India,Ganesh Housing Corporation Limited
ARVIND.NS,India,Arvind Limited
ICIL.NS,India,Indo Count Industries Limited
SHRIPISTON.NS,India,Shriram Pistons & Rings Limited
WOCKPHARMA.NS,India,Wockhardt Limited
DBREALTY.NS,India,D B Realty Limited
ISMTLTD.NS,India,ISMT Limited
JINDALPOLY.NS,India,Jindal Poly Films Limited
WABAG.NS,India,VA Tech Wabag Limited
BAJAJCON.NS,India,Bajaj Consumer Care Limited
GENUSPOWER.NS,India,Genus Power Infrastructures Limited
BUTTERFLY.NS,India,Butterfly Gandhimathi Appliances Limited
NAVNETEDUL.NS,India,Navneet Education Limited
GOKEX.NS,India,Gokaldas Exports Limited
APOLLOPIPE.NS,India,Apollo Pipes Limited
LANDMARK.NS,India,Landmark Cars Limited
IFCI.NS,India,IFCI Limited
ATFL.NS,India,Agro Tech Foods Limited
EVEREADY.NS,India,Eveready Industries India Limited
AGI.NS,India,AGI Greenpac Limited
TI.NS,India,Tilaknagar Industries Limited
ASHOKA.NS,India,Ashoka Buildcon Limited
SOMANYCERA.NS,India,Somany Ceramics Limited
HCC.NS,India,Hindustan Construction Company Limited
JISLJALEQS.NS,India,Jain Irrigation Systems Limited
VINDHYATEL.NS,India,Vindhya Telelinks Limited
FIEMIND.NS,India,Fiem Industries Limited
TASTYBITE.NS,India,Tasty Bite Eatables Limited
JAYNECOIND.NS,India,Jayaswal Neco Industries Limited
HONDAPOWER.NS,India,Honda India Power Products Limited
UNICHEMLAB.NS,India,Unichem Laboratories Limited
MUKANDLTD.NS,India,Mukand Limited
CIGNITITEC.NS,India,Cigniti Technologies Limited
MMFL.NS,India,MM Forgings Limited
VENKEYS.NS,India,Venky's (India) Limited
RAMKY.NS,India,Ramky Infrastructure Limited
DIVGIITTS.NS,India,Divgi Torqtransfer Systems Limited
CAMLINFINE.NS,India,Camlin Fine Sciences Limited
SHILPAMED.NS,India,Shilpa Medicare Limited
GULFOILLUB.NS,India,Gulf Oil Lubricants India Limited
MOL.NS,India,Meghmani Organics Limited
DOLLAR.NS,India,Dollar Industries Limited
VSTTILLERS.NS,India,V.S.T Tillers Tractors Limited
SUBROS.NS,India,Subros Limited
DCAL.NS,India,Dishman Carbogen Amcis Limited
GABRIEL.NS,India,Gabriel India Limited
MAXVIL.NS,India,Max Ventures and Industries Limited
SIYSIL.NS,India,Siyaram Silk Mills Limited
TVSSRICHAK.NS,India,TVS Srichakra Limited
ASTRAMICRO.NS,India,Astra Microwave Products Limited
JKIL.NS,India,J.Kumar Infraprojects Limited
JAGRAN.NS,India,Jagran Prakashan Limited
ELECTCAST.NS,India,Electrosteel Castings Limited
CARERATING.NS,India,CARE Ratings Limited
INDIAGLYCO.NS,India,India Glycols Limited
BALMLAWRIE.NS,India,Balmer Lawrie & Company Limited
KOLTEPATIL.NS,India,Kolte - Patil Developers Limited
IMAGICAA.NS,India,Imagicaaworld Entertainment Limited
WELENT.NS,India,Welspun Enterprises Limited
TIPSINDLTD.NS,India,TIPS Industries Limited
SWARAJENG.NS,India,Swaraj Engines Limited
MAYURUNIQ.NS,India,Mayur Uniquoters Ltd
GANECOS.NS,India,Ganesha Ecosphere Limited
PARAS.NS,India,Paras Defence and Space Technologies Limited
LUMAXTECH.NS,India,Lumax Auto Technologies Limited
ACCELYA.NS,India,Accelya Solutions India Limited
KESORAMIND.NS,India,Kesoram Industries Limited
CARTRADE.NS,India,Cartrade Tech Limited
MPSLTD.NS,India,MPS Limited
SEQUENT.NS,India,Sequent Scientific Limited
HIL.NS,India,HIL Limited
GUFICBIO.NS,India,Gufic Biosciences Limited
ITDCEM.NS,India,ITD Cementation India Limited
PILANIINVS.NS,India,Pilani Investment and Industries Corporation Limited
MSTCLTD.NS,India,Mstc Limited
LSIL.NS,India,Lloyds Steels Industries Limited
PANAMAPET.NS,India,Panama Petrochem Limited
OPTIEMUS.NS,India,Optiemus Infracom Limited
SIRCA.NS,India,Sirca Paints India Limited
TIRUMALCHM.NS,India,Thirumalai Chemicals Limited
DYNAMATECH.NS,India,Dynamatic Technologies Limited
SUNDARMHLD.NS,India,Sundaram Finance Holdings Limited
TIMETECHNO.NS,India,Time Technoplast Limited
DBCORP.NS,India,D.B.Corp Limited
ASHIANA.NS,India,Ashiana Housing Limited
CONFIPET.NS,India,Confidence Petroleum India Limited
DIAMONDYD.NS,India,Prataap Snacks Limited
NUCLEUS.NS,India,Nucleus Software Exports Limited
GREENPLY.NS,India,Greenply Industries Limited
JPASSOCIAT.NS,India,Jaiprakash Associates Limited
WENDT.NS,India,Wendt (India) Limited
FINOPB.NS,India,Fino Payments Bank Limited
FMGOETZE.NS,India,Federal-Mogul Goetze (India) Limited.
SANGHIIND.NS,India,Sanghi Industries Limited
VAKRANGEE.NS,India,Vakrangee Limited
GNA.NS,India,GNA Axles Limited
AMRUTANJAN.NS,India,Amrutanjan Health Care Limited
EMUDHRA.NS,India,eMudhra Limited
DATAMATICS.NS,India,Datamatics Global Services Limited
SHARDAMOTR.NS,India,Sharda Motor Industries Limited
IOLCP.NS,India,IOL Chemicals and Pharmaceuticals Limited
LUMAXIND.NS,India,Lumax Industries Limited
BAJAJHIND.NS,India,Bajaj Hindusthan Sugar Limited
STYLAMIND.NS,India,Stylam Industries Limited
ANDHRAPAP.NS,India,ANDHRA PAPER LIMITED
SOTL.NS,India,Savita Oil Technologies Limited
ADFFOODS.NS,India,ADF Foods Limited
VIDHIING.NS,India,Vidhi Specialty Food Ingredients Limited
KABRAEXTRU.NS,India,Kabra Extrusion Technik Limited
BEPL.NS,India,Bhansali Engineering Polymers Limited
RUPA.NS,India,Rupa & Company Limited
NACLIND.NS,India,NACL Industries Limited
VSSL.NS,India,Vardhman Special Steels Limited
VISHNU.NS,India,Vishnu Chemicals Limited
DWARKESH.NS,India,Dwarikesh Sugar Industries Limited
DHANI.NS,India,Dhani Services Limited
BANCOINDIA.NS,India,Banco Products (I) Limited
KINGFA.NS,India,Kingfa Science & Technology (India) Limited
SUBEXLTD.NS,India,Subex Limited
HINDOILEXP.NS,India,Hindustan Oil Exploration Company Limited
RTNPOWER.NS,India,RattanIndia Power Limited
VADILALIND.NS,India,Vadilal Industries Limited
BBOX.NS,India,Black Box Limited
ORCHPHARMA.NS,India,Orchid Pharma Limited
PURVA.NS,India,Puravankara Limited
COSMOFIRST.NS,India,COSMO FIRST LIMITED
IMFA.NS,India,Indian Metals & Ferro Alloys Limited
SUPRIYA.NS,India,Supriya Lifescience Limited
SAKSOFT.NS,India,Saksoft Limited
IIFLSEC.NS,India,IIFL Securities Limited
SANGHVIMOV.NS,India,Sanghvi Movers Limited
GOKULAGRO.NS,India,Gokul Agro Resources Limited
ALEMBICLTD.NS,India,Alembic Limited
VENUSPIPES.NS,India,Venus Pipes & Tubes Limited
SEAMECLTD.NS,India,Seamec Limited
TNPL.NS,India,Tamil Nadu Newsprint & Papers Limited
KPIGREEN.NS,India,KPI Green Energy Limited
BFINVEST.NS,India,BF Investment Limited
SESHAPAPER.NS,India,Seshasayee Paper and Boards Limited
DHAMPURSUG.NS,India,Dhampur Sugar Mills Limited
ANDHRSUGAR.NS,India,The Andhra Sugars Limited
KIRIINDUS.NS,India,Kiri Industries Limited
TTKHLTCARE.NS,India,TTK Healthcare Limited
CARYSIL.NS,India,CARYSIL LIMITED
GOCLCORP.NS,India,GOCL Corporation Limited
JSWISPL.NS,India,JSW Ispat Special Products Limited
STERTOOLS.NS,India,Sterling Tools Limited
SHALBY.NS,India,Shalby Limited
TIDEWATER.NS,India,Tide Water Oil Company (India) Limited
KRSNAA.NS,India,Krsnaa Diagnostics Limited
KRISHANA.NS,India,Krishana Phoschem Limited
HUHTAMAKI.NS,India,Huhtamaki India Limited
BBL.NS,India,Bharat Bijlee Limited
SEPC.NS,India,SEPC Limited
ORISSAMINE.NS,India,The Orissa Minerals Development Company Limited
FILATEX.NS,India,Filatex India Limited
THEJO.NS,India,Thejo Engineering Limited
APTECHT.NS,India,Aptech Limited
ORIENTHOT.NS,India,Oriental Hotels Limited
DCXINDIA.NS,India,DCX Systems Limited
FOSECOIND.NS,India,Foseco India Limited
GOLDIAM.NS,India,Goldiam International Limited
SHANKARA.NS,India,Shankara Building Products Limited
INSECTICID.NS,India,Insecticides (India) Limited
THANGAMAYL.NS,India,Thangamayil Jewellery Limited
SHK.NS,India,S H Kelkar and Company Limited
TEXRAIL.NS,India,Texmaco Rail & Engineering Limited
CANTABIL.NS,India,Cantabil Retail India Limited
GALLANTT.NS,India,Gallantt Ispat Limited
HERITGFOOD.NS,India,Heritage Foods Limited
KCP.NS,India,KCP Limited
MOREPENLAB.NS,India,Morepen Laboratories Limited
GATI.NS,India,GATI Limited
RAMASTEEL.NS,India,Rama Steel Tubes Limited
HESTERBIO.NS,India,Hester Biosciences Limited
NRBBEARING.NS,India,NRB Bearing Limited
INDOSTAR.NS,India,IndoStar Capital Finance Limited
MONTECARLO.NS,India,Monte Carlo Fashions Limited
KSL.NS,India,Kalyani Steels Limited
KDDL.NS,India,KDDL Limited
TCPLPACK.NS,India,TCPL Packaging Limited
MARATHON.NS,India,Marathon Nextgen Realty Limited
ARVSMART.NS,India,Arvind SmartSpaces Limited
DCW.NS,India,DCW Limited
DEN.NS,India,Den Networks Limited
STEELXIND.NS,India,STEEL EXCHANGE INDIA LIMITED
EIHAHOTELS.NS,India,EIH Associated Hotels Limited
IGPL.NS,India,IG Petrochemicals Limited
NITINSPIN.NS,India,Nitin Spinners Limited
EXPLEOSOL.NS,India,Expleo Solutions Limited
VERANDA.NS,India,Veranda Learning Solutions Limited
SALASAR.NS,India,Salasar Techno Engineering Limited
STYRENIX.NS,India,Styrenix Performance Materials Limited
ADORWELD.NS,India,Ador Welding Limited
BHAGCHEM.NS,India,Bhagiradha Chemicals & Industries Limited
PCJEWELLER.NS,India,PC Jeweller Limited
GENESYS.NS,India,Genesys International Corporation Limited
STOVEKRAFT.NS,India,Stove Kraft Limited
RANEHOLDIN.NS,India,Rane Holdings Limited
NDTV.NS,India,New Delhi Television Limited
XPROINDIA.NS,India,Xpro India Limited
MANORAMA.NS,India,Manorama Industries Limited
GRWRHITECH.NS,India,Garware Hi-Tech Films Limited
HARIOMPIPE.NS,India,Hariom Pipe Industries Limited
SANDHAR.NS,India,Sandhar Technologies Limited
AVTNPL.NS,India,AVT Natural Products Limited
IWEL.NS,India,Inox Wind Energy Limited
SJS.NS,India,S.J.S. Enterprises Limited
EVERESTIND.NS,India,Everest Industries Limited
FAIRCHEMOR.NS,India,Fairchem Organics Limited
SASKEN.NS,India,Sasken Technologies Limited
OAL.NS,India,Oriental Aromatics Limited
NELCO.NS,India,NELCO Limited
RIIL.NS,India,Reliance Industrial Infrastructure Limited
SOLARA.NS,India,Solara Active Pharma Sciences Limited
TAJGVK.NS,India,Taj GVK Hotels & Resorts Limited
BOMDYEING.NS,India,Bombay Dyeing & Mfg Company Limited
MANGCHEFER.NS,India,Mangalore Chemicals & Fertilizers Limited
GOODLUCK.NS,India,Goodluck India Limited
RPGLIFE.NS,India,RPG Life Sciences Limited
PATELENG.NS,India,Patel Engineering Limited
SPIC.NS,India,Southern Petrochemicals Industries Corporation  Limited
INOXGREEN.NS,India,Inox Green Energy Services Limited
GIPCL.NS,India,Gujarat Industries Power Company Limited
UNIVCABLES.NS,India,Universal Cables Limited
NSIL.NS,India,Nalwa Sons Investments Limited
HMT.NS,India,HMT Limited
MATRIMONY.NS,India,Matrimony.Com Limited
MTNL.NS,India,Mahanagar Telephone Nigam Limited
SDBL.NS,India,Som Distilleries & Breweries Limited
VALIANTORG.NS,India,Valiant Organics Limited
ARMANFIN.NS,India,Arman Financial Services Limited
REPCOHOME.NS,India,Repco Home Finance Limited
HERANBA.NS,India,Heranba Industries Limited
BFUTILITIE.NS,India,BF Utilities Limited
PRECWIRE.NS,India,Precision Wires India Limited
AXITA.NS,India,Axita Cotton Limited
GRMOVER.NS,India,GRM Overseas Limited
GTPL.NS,India,GTPL Hathway Limited
IGARASHI.NS,India,Igarashi Motors India Limited
INFOBEAN.NS,India,InfoBeans Technologies Limited
ALICON.NS,India,Alicon Castalloy Limited
THEMISMED.NS,India,Themis Medicare Limited
TVTODAY.NS,India,TV Today Network Limited
WHEELS.NS,India,Wheels India Limited
RPSGVENT.NS,India,RPSG VENTURES LIMITED
RAMCOIND.NS,India,Ramco Industries Limited
SMLISUZU.NS,India,SML Isuzu Limited
AHL.NS,India,Abans Holdings Limited
UNIENTER.NS,India,Uniphos Enterprises Limited
SATIN.NS,India,Satin Creditcare Network Limited
KUANTUM.NS,India,Kuantum Papers Limited
GANESHBE.NS,India,Ganesh Benzoplast Limited
SUVEN.NS,India,Suven Life Sciences Limited
SATIA.NS,India,Satia Industries Limited
GULPOLY.NS,India,Gulshan Polyols Limited
UGARSUGAR.NS,India,The Ugar Sugar Works Limited
MANALIPETC.NS,India,Manali Petrochemicals Limited
PIXTRANS.NS,India,Pix Transmissions Limited
SHRIRAMPPS.NS,India,Shriram Properties Limited
RADIANTCMS.NS,India,Radiant Cash Management Services Limited
PNBGILTS.NS,India,PNB Gilts Limited
INDORAMA.NS,India,Indo Rama Synthetics (India) Limited
ASHAPURMIN.NS,India,Ashapura Minechem Limited
UGROCAP.NS,India,Ugro Capital Limited
AXISCADES.NS,India,AXISCADES Technologies Limited
HITECH.NS,India,Hi-Tech Pipes Limited
PUNJABCHEM.NS,India,Punjab Chemicals & Crop Protection Limited
SURYODAY.NS,India,Suryoday Small Finance Bank Limited
EKC.NS,India,Everest Kanto Cylinder Limited
JASH.NS,India,Jash Engineering Limited
DPSCLTD.NS,India,DPSC Limited
TARC.NS,India,TARC Limited
BHARATWIRE.NS,India,Bharat Wire Ropes Limited
EXCELINDUS.NS,India,Excel Industries Limited
SPECIALITY.NS,India,Speciality Restaurants Limited
ANUP.NS,India,The Anup Engineering Limited
SKIPPER.NS,India,Skipper Limited
AJMERA.NS,India,Ajmera Realty & Infra India Limited
SHALPAINTS.NS,India,Shalimar Paints Limited
GMBREW.NS,India,GM Breweries Limited
SANGAMIND.NS,India,Sangam (India) Limited
SHIVALIK.NS,India,Shivalik Rasayan Limited
GMRP&UI.NS,India,GMR Power and Urban Infra Limited
PENIND.NS,India,Pennar Industries Limited
GEOJITFSL.NS,India,Geojit Financial Services Limited
BCLIND.NS,India,Bcl Industries Limited
DBOL.NS,India,Dhampur Bio Organics Limited
SHAILY.NS,India,Shaily Engineering Plastics Limited
LIKHITHA.NS,India,Likhitha Infrastructure Limited
MADRASFERT.NS,India,Madras Fertilizers Limited
STEELCAS.NS,India,Steelcast Limited
MKPL.NS,India,M K Proteins Limited
ROSSELLIND.NS,India,Rossell India Limited
KITEX.NS,India,Kitex Garments Limited
PRAKASH.NS,India,Prakash Industries Limited
ARTEMISMED.NS,India,Artemis Medicare Services Limited
RICOAUTO.NS,India,Rico Auto Industries Limited
OMAXE.NS,India,Omaxe Limited
CENTUM.NS,India,Centum Electronics Limited
ROTO.NS,India,Roto Pumps Limited
PRECAM.NS,India,Precision Camshafts Limited
BIGBLOC.NS,India,Bigbloc Construction Limited
SHREDIGCEM.NS,India,Shree Digvijay Cement Co.Ltd
CLSEL.NS,India,Chaman Lal Setia Exports Limited
GTLINFRA.NS,India,GTL Infrastructure Limited
PGIL.NS,India,Pearl Global Industries Limited
UTTAMSUGAR.NS,India,Uttam Sugar Mills Limited
AVADHSUGAR.NS,India,Avadh Sugar & Energy Limited
PITTIENG.NS,India,Pitti Engineering Limited
5PAISA.NS,India,5Paisa Capital Limited
NAHARSPING.NS,India,Nahar Spinning Mills Limited
SPCENET.NS,India,Spacenet Enterprises India Limited
SPORTKING.NS,India,Sportking India Limited
DEEPINDS.NS,India,Deep Industries Limited
PARAGMILK.NS,India,Parag Milk Foods Limited
AGARIND.NS,India,Agarwal Industrial Corporation Limited
CONTROLPR.NS,India,Control Print Limited
BAJAJHCARE.NS,India,Bajaj Healthcare Limited
KAMDHENU.NS,India,Kamdhenu Limited
CHEMCON.NS,India,Chemcon Speciality Chemicals Limited
GICHSGFIN.NS,India,GIC Housing Finance Limited
MEDICAMEQ.NS,India,Medicamen Biotech Limited
DLINKINDIA.NS,India,D-Link (India) Limited
ARIHANTSUP.NS,India,Arihant Superstructures Limited
VHL.NS,India,Vardhman Holdings Limited
PFS.NS,India,PTC India Financial Services Limited
HEXATRADEX.NS,India,Hexa Tradex Limited
RILINFRA.NS,India,Rachana Infrastructure Limited
CAPACITE.NS,India,Capacit'e Infraprojects Limited
SPAL.NS,India,S. P. Apparels Limited
NCLIND.NS,India,NCL Industries Limited
63MOONS.NS,India,63 moons technologies limited
NAVKARCORP.NS,India,Navkar Corporation Limited
ORIENTPPR.NS,India,Orient Paper & Industries Limited
DREDGECORP.NS,India,Dredging Corporation of India Limited
AMBIKCO.NS,India,Ambika Cotton Mills Limited
CENTRUM.NS,India,Centrum Capital Limited
LINC.NS,India,Linc Limited
RGL.NS,India,Renaissance Global Limited
SCHAND.NS,India,S Chand And Company Limited
NELCAST.NS,India,Nelcast Limited
FAZE3Q.NS,India,Faze Three Limited
KICL.NS,India,Kalyani Investment Company Limited
DVL.NS,India,Dhunseri Ventures Limited
JAGSNPHARM.NS,India,Jagsonpal Pharmaceuticals Limited
POKARNA.NS,India,Pokarna Limited
IFGLEXPOR.NS,India,IFGL Refractories Limited
TRIL.NS,India,Transformers And Rectifiers (India) Limited
CENTENKA.NS,India,Century Enka Limited
SMCGLOBAL.NS,India,SMC Global Securities Limited
ROHLTD.NS,India,Royal Orchid Hotels Limited
INDNIPPON.NS,India,India Nippon Electricals Limited
SHAKTIPUMP.NS,India,Shakti Pumps (India) Limited
NGLFINE.NS,India,NGL Fine-Chem Limited
IMPAL.NS,India,India Motor Parts and Accessories Limited
BLISSGVS.NS,India,Bliss GVS Pharma Limited
ALLSEC.NS,India,Allsec Technologies Limited
ORIENTBELL.NS,India,Orient Bell Limited
MANGLMCEM.NS,India,Mangalam Cement Limited
SANDESH.NS,India,The Sandesh Limited
BODALCHEM.NS,India,Bodal Chemicals Limited
ESTER.NS,India,Ester Industries Limited
ZOTA.NS,India,Zota Health Care LImited
RSWM.NS,India,RSWM Limited
INDRAMEDCO.NS,India,Indraprastha Medical Corporation Limited
QUICKHEAL.NS,India,Quick Heal Technologies Limited
SRHHYPOLTD.NS,India,Sree Rayalaseema Hi-Strength Hypo Limited
AURIONPRO.NS,India,Aurionpro Solutions Limited
GSLSU.NS,India,Global Surfaces Limited
SASTASUNDR.NS,India,Sastasundar Ventures Limited
MANAKSIA.NS,India,Manaksia Limited
AWHCL.NS,India,Antony Waste Handling Cell Limited
BLKASHYAP.NS,India,B. L. Kashyap and Sons Limited
RAMRAT.NS,India,Ram Ratna Wires Limited
JINDRILL.NS,India,Jindal Drilling And Industries Limited
VIMTALABS.NS,India,Vimta Labs Limited
CLOUD.NS,India,Varanium Cloud Limited
DPABHUSHAN.NS,India,D. P. Abhushan Limited
MOLDTECH.NS,India,Mold-Tek Technologies Limited
ATULAUTO.NS,India,Atul Auto Limited
KOKUYOCMLN.NS,India,Kokuyo Camlin Limited
SIGACHI.NS,India,Sigachi Industries Limited
HIMATSEIDE.NS,India,Himatsingka Seide Limited
LINCOLN.NS,India,Lincoln Pharmaceuticals Limited
GREENPOWER.NS,India,Orient Green Power Company Limited
EMAMIPAP.NS,India,Emami Paper Mills Limited
SATINDLTD.NS,India,Sat Industries Limited
RAMCOSYS.NS,India,Ramco Systems Limited
HPAL.NS,India,HP Adhesives Limited
OCCL.NS,India,Oriental Carbon & Chemicals Limited
FOCUS.NS,India,Focus Lighting and Fixtures Limited
GEPIL.NS,India,GE Power India Limited
SUTLEJTEX.NS,India,Sutlej Textiles and Industries Limited
PANACEABIO.NS,India,Panacea Biotec Limited
JAIBALAJI.NS,India,Jai Balaji Industries Limited
RML.NS,India,Rane (Madras) Limited
JETAIRWAYS.NS,India,Jet Airways (India) Limited
TRACXN.NS,India,Tracxn Technologies Limited
KHAICHEM.NS,India,Khaitan Chemicals & Fertilizers Limited
TNPETRO.NS,India,Tamilnadu PetroProducts Limited
ONWARDTEC.NS,India,Onward Technologies Limited
TFCILTD.NS,India,Tourism Finance Corporation of India Limited
ONMOBILE.NS,India,OnMobile Global Limited
INNOVANA.NS,India,Innovana Thinklabs Limited
GANDHITUBE.NS,India,Gandhi Special Tubes Limited
TEXINFRA.NS,India,Texmaco Infrastructure & Holdings Limited
MEDICO.NS,India,Medico Remedies Limited
TVSELECT.NS,India,TVS Electronics Limited
HEUBACHIND.NS,India,Heubach Colorants India Limited
VINYLINDIA.NS,India,Vinyl Chemicals (India) Limited
PARACABLES.NS,India,Paramount Communications Limited
FOODSIN.NS,India,Foods & Inns Limited
HLVLTD.NS,India,HLV LIMITED
COFFEEDAY.NS,India,Coffee Day Enterprises Limited
BETA.NS,India,Beta Drugs Limited
APEX.NS,India,Apex Frozen Foods Limited
YUKEN.NS,India,Yuken India Limited
ELIN.NS,India,Elin Electronics Limited
MONARCH.NS,India,Monarch Networth Capital Limited
DMCC.NS,India,DMCC SPECIALITY CHEMICALS LIMITED
CHEVIOT.NS,India,Cheviot Company Limited
XCHANGING.NS,India,Xchanging Solutions Limited
VISAKAIND.NS,India,Visaka Industries Limited
SUMMITSEC.NS,India,Summit Securities Limited
SUKHJITS.NS,India,Sukhjit Starch & Chemicals Limited
INDIANHUME.NS,India,Indian Hume Pipe Company Limited
JUBLINDS.NS,India,Jubilant Industries Limited
ASALCBR.NS,India,Associated Alcohols & Breweries Ltd.
DECCANCE.NS,India,Deccan Cements Limited
JAYBARMARU.NS,India,Jay Bharat Maruti Limited
COOLCAPS.NS,India,Cool Caps Industries Limited
APOLLO.NS,India,Apollo Micro Systems Limited
ELDEHSG.NS,India,Eldeco Housing And Industries Limited
HERCULES.NS,India,Hercules Hoists Limited
4THDIM.NS,India,Fourth Dimension Solutions Limited
KRITI.NS,India,Kriti Industries (India) Limited
AGSTRA.NS,India,AGS Transact Technologies Limited
NAHARPOLY.NS,India,Nahar Poly Films Limited
MANINDS.NS,India,Man Industries (India) Limited
ENIL.NS,India,Entertainment Network (India) Limited
SYNCOMF.NS,India,Syncom Formulations (India) Limited
